Personality,DoYouKnowJustine,BuyorNotJustine,JustineText,DoYouKnowMarques,BuyorNotMarques,MarquesText
a,Yes,No,"Her reviews mostly positive.  Not credible, someone script for her?",Yes,Yes,He tries to be objectives and neutral
b,No,Yes,the macro mode and video of the nee iPhone13 is really cool. I am really impressed. Love the music and the video is very well edited. very well made,Yes,No,a lot of information. too much information. Kind of lose my attention with some I dont need. A lot of features mentioned and I had to fast forward to the features I am interested in.
c,Yes,No,I feel that she is overselling the iphone as she exaggerates on the plus points of the phone. She didn't mention about the cons of the phone. Could be she is paid or sponsored by Apple. Nevertheless it is still an informative and entertaining video about the phone,Yes,Yes,"Marques gives a more realistic unbiased review of the iphone. He mentions about the pros and cons of the phone and compare's them in a fair manner. Given his more authentic review, I will be more inclined to believing what he says."
a,Yes,Yes,"Love the in-depth dive into the cameras for the phones, definitely a nice upgrade. ",Yes,Yes,"Thanks for the in-depth review of the phone as a whole, very helpful! "
b,No,No,Focused on the camera. I believe there are phones with better cameras. I'm not a fan of apple,No,No,It's comparing iphone with iphone. Doesn't convince me to buy one. I'm not an apple fan.
d,No,Yes,"Interesting, fun to watch, and insightful, but very long",No,Yes,Factual review
c,No,Yes,Wow!!! Iphone 13 Pro Max features are super upgrade! Thank you for the detailed review!,No,No,I would love to see more comparisons between the new and the old. 
b,No,No,Great shots. ,No,Yes,Exactly what I wanted to know. Thanks!
d,Yes,No,Don’t exaggerate ,Yes,Yes,My go to review guy !
d,No,Yes,Succinctly describes the main differences between iPhone 12 Pro Max and iPhone 13 pro max as well as differences between the 13pro and 13. Points out special features of the phone. Video shot in an interesting and stylish manner.,No,Yes,"Good use of keywords and pointer forms. Very easy to understand. Very succinct, to the point and no unnecessary shots. Focuses on technical bits of the phone. Pretty convinced to buy the phone. "
d,No,Yes,"Very clear and down to earth review of the phone, scenarios of how a normal users would use the phone are much appreciated ",Yes,Yes,"very detailed and technical, probably better for very geeky users"
b,No,No,Not convinced. ,No,No,Not convinced 
b,No,No,"Interesting! She shows the different photo modes for the iphone which i didnt know was possible, this allows me to take more photos i like in a different way!",Yes,Yes,The ProMotion seems to be interesting...
c,Yes,Yes,Cinematic is helpful feature to take video and photo quality is vivid.,Yes,Yes,The iPhone design is stylist and when you owned it you will capture excellent photos
d,No,No,Creative and content is good ,No,No,Content is very informative 
d,No,No,Doesn't matter to me because I just don't think it's practical to spend the money on a phone.,No,No,Still doesn't matter to me because it doesn't make sense to spend such money on a phone
c,Yes,Yes,Really enjoyed the tour around! I had fun 'hanging out' with you while you reviewed the phone :),No,Yes,Thanks for taking time to show us the details of the phone up close!
c,Yes,Yes,Great content on the macro and cinematic modes!,Yes,Yes,"Thank you for the great overview of the iPhone 13 Pro and for detailing the screen, battery, cameras, etc."
b,No,Yes,I really enjoyed the video! The quality of the iphone 13 pro max camera is amazing!,No,Yes,Been wondering if I should upgrade from my old iPhone XR and you've got me convinced!
b,Yes,Yes,The new camera function is really good. Thanks I am covinced,No,Yes,You give a very lengthy review of the camera function. Very informative. Thank you
c,No,Yes,"As an iPhone user who love taking photo but never thought of getting a pro max model because i always think it is unnecessary, your video makes me want to get one. The photo and video taken by 13 pro max are really nice! Love the way you do review and compare to another model, and love the fun and your energy too!",No,No,Very detailed and informative video. 
b,No,Yes,Very informative and upbeat,No,Yes,Very informative and precise. 
c,No,Yes,in depth explanation of details on the phone ,Yes,No,correlation of some random stuffs into his video content 
c,No,Yes,Great video. I am intrigued by the new features of the camera.,Yes,Yes,Great content. very long video and I like the new camera features 
d,No,No,Lengthy but good comparisons.,No,No,Lengthy but clear comparison.
c,No,Yes,Advertising ,No,No,It's high tech however do we often use the feature? 
b,No,No,She’s doing a review for iPhone 13 pro for those that don’t know the functions of it. ,Yes,Yes,He is clear about sharing his reviews of the phone. 
c,No,Yes,iPhone 13 pro rocks!,Yes,No,Nice review of the iPhone 13 pro
a,No,Yes,The video is well taken.,Yes,No,High tech but seldom use the features
a,No,Yes,Not bad. Straight to the point. ,No,No,Too long winded. No focus point. 
d,No,No,"Overtly dramatic girl,  tone down on the dramatised expressions.  But overall, great cinematography and the music is sweet.",Yes,No,Great job MKBHD!
d,No,Yes,A lot of practical applications of the phones features. She used it in many street and urban areas to demonstrate it. She was also engaging and knowledgeable of what she was doing. ,No,No,More geeky and technical. I was somewhat lost in the technical terms. Right off the bat there weren’t that many very practical demonstrations he performed. 
a,No,Yes,Amazing review on the cameras. The front camera seems really good!,Yes,Yes,"What a fantastic review, sure help me with my decision making"
d,No,No,Great editing!,No,Yes,Detailed review!
a,No,Yes,Long-winded.,No,No,Extremely detailed 
c,No,No,in depth explanation. Intriguing,Yes,No,interesting and organised content
b,No,No,informative but the repetitiveness and focus on the camera made me skip through till the end,Yes,Yes,"very detailed comparison, testing features the layman might overlook"
d,No,Yes,Very fun yet detailed and comprehensive review with actual footages and comparisons of the latest iPhone13 Pro. Great job Justine,No,No,"Marques, did a very indepth technical review of the latest upgrade features of iPhone 13 Pro*...but honestly I am not convinced enough to consider buying it , based on the cost. "
d,No,No,Someone who was paid to promote iphone pro.,No,Yes,Presentation more precise and more convincing with showing of the iphone functions.
d,Yes,Yes,The review is a fresh take on how reviews are done with real life examples.,Yes,Yes,Well reviewed and comparisons done side by side is great!
b,No,No,Good knowledge on the different features  between the two phones and different comparison. A summary of both phones at the end would be helpful. ,No,Yes,Great review on showcasing the different features on iphone13. 
a,No,Yes,"Good feedback and review, based on daily tasks and possible usage.",Yes,Yes,"Nice way to wrap up the clips, also with good flow of features introduced."
d,No,Yes,Great review!,No,No,Too much monologuing
b,No,Yes,Amazing!  Thank you for sharing the amazing technology in the new iPhone13 Pro,No,No,Thanks for sharing
a,No,No,Pretty good but way too long.,No,No,Too much technical jargon.
c,No,Yes,"To me, it was a very professionally done video.  She really highlighted all the great features of the phone and made really good use of the videos and photos to justify them, especially the macro feature.  While there might be post- production editing involved, I really like the side by side comparisons.",No,No,A lot more talking compared to the other video and a lot of indoor filming makes me feel like attending a lecture or a sales talk.  There is little background music like the other video.  There is little side by side comparisons which I liked. 
d,No,No,"Why only about the camera? I can’t use camera phones at work. What about the other features of the phone? There is more to a phone than just a camera, unless iPhone 13 pro got nothing new to feature other than the camera ",No,No,Only shows that Apple ran out of new ideas and lost its touch in innovating. Talk so much but nothing new actually. New terms but same old features.
a,Yes,Yes,A was probably shot on iPhone ,Yes,Yes,Long and credible review
a,No,Yes,Wonderful! the explanation is very clear. This video is persuasive indeed made me want to purchase the iPhone 13 immediately. ,No,Yes,Down to earth explanation. This video is personable and easy to understand.
a,No,No,Too long winded and trying too hard to convince,No,No,Music is good but again trying too hard to convincr
