Personality,PersonalityNum,DoYouKnowJustine,BuyorNotJustine,JustineText,DoYouKnowMarques,BuyorNotMarques,MarquesText
a,1,Yes,No,"Her reviews mostly positive.  Not credible, someone script for her?",Yes,Yes,He tries to be objectives and neutral
b,2,No,Yes,the macro mode and video of the nee iPhone13 is really cool. I am really impressed. Love the music and the video is very well edited. very well made,Yes,No,a lot of information. too much information. Kind of lose my attention with some I dont need. A lot of features mentioned and I had to fast forward to the features I am interested in.
c,3,Yes,No,I feel that she is overselling the iphone as she exaggerates on the plus points of the phone. She didn't mention about the cons of the phone. Could be she is paid or sponsored by Apple. Nevertheless it is still an informative and entertaining video about the phone,Yes,Yes,"Marques gives a more realistic unbiased review of the iphone. He mentions about the pros and cons of the phone and compare's them in a fair manner. Given his more authentic review, I will be more inclined to believing what he says."
a,1,Yes,Yes,"Love the in-depth dive into the cameras for the phones, definitely a nice upgrade. ",Yes,Yes,"Thanks for the in-depth review of the phone as a whole, very helpful! "
b,2,No,No,Focused on the camera. I believe there are phones with better cameras. I'm not a fan of apple,No,No,It's comparing iphone with iphone. Doesn't convince me to buy one. I'm not an apple fan.
d,4,No,Yes,"Interesting, fun to watch, and insightful, but very long",No,Yes,Factual review
c,3,No,Yes,Wow!!! Iphone 13 Pro Max features are super upgrade! Thank you for the detailed review!,No,No,I would love to see more comparisons between the new and the old. 
b,2,No,No,Great shots. ,No,Yes,Exactly what I wanted to know. Thanks!
d,4,Yes,No,Don’t exaggerate ,Yes,Yes,My go to review guy !
d,4,No,Yes,Succinctly describes the main differences between iPhone 12 Pro Max and iPhone 13 pro max as well as differences between the 13pro and 13. Points out special features of the phone. Video shot in an interesting and stylish manner.,No,Yes,"Good use of keywords and pointer forms. Very easy to understand. Very succinct, to the point and no unnecessary shots. Focuses on technical bits of the phone. Pretty convinced to buy the phone. "
d,4,No,Yes,"Very clear and down to earth review of the phone, scenarios of how a normal users would use the phone are much appreciated ",Yes,Yes,"very detailed and technical, probably better for very geeky users"
b,2,No,No,Not convinced. ,No,No,Not convinced 
b,2,No,No,"Interesting! She shows the different photo modes for the iphone which i didnt know was possible, this allows me to take more photos i like in a different way!",Yes,Yes,The ProMotion seems to be interesting...
