a,"Her reviews mostly positive.  Not credible, someone script for her?"
a,"Love the in-depth dive into the cameras for the phones, definitely a nice upgrade. "
a,Focused on the camera. I believe there are phones with better cameras. I'm not a fan of apple
a,Cinematic is helpful feature to take video and photo quality is vivid.
a,The video is well taken.
a,Not bad. Straight to the point. 
a,Amazing review on the cameras. The front camera seems really good!
a,Long-winded.
a,"Good feedback and review, based on daily tasks and possible usage."
a,Pretty good but way too long.
