What is your Age Group,DISC overall,Please tell us your thoughts about the content of the video. Please phrase it as if you were leaving a comment on the video you just watched from iJustine.,"Before this survey, have you heard of iJustine?","After watching the video, would you consider buying an iPhone13 Pro? 
(Based on the video, your personal preference of phone brand aside)",Please tell us your thoughts about the content of the video. Please phrase it as if you were leaving a comment on the video you just watched from Marques Brownlee,"Before this survey, have you heard of Marques Brownlee?","After watching the video, would you consider buying an iPhone13 Pro? 
(Based on the video, your personal preference of phone brand aside)"
50 and above,a,"Her reviews mostly positive.  Not credible, someone script for her?",Yes,No. I am a skeptic,He tries to be objectives and neutral,Yes,"Yes, I will definitely take his review seriously"
40 to 49,b,the macro mode and video of the nee iPhone13 is really cool. I am really impressed. Love the music and the video is very well edited. very well made,No,Yes. I am convinced by her review,a lot of information. too much information. Kind of lose my attention with some I dont need. A lot of features mentioned and I had to fast forward to the features I am interested in.,Yes,No. I would not.
30 to 39,c,I feel that she is overselling the iphone as she exaggerates on the plus points of the phone. She didn't mention about the cons of the phone. Could be she is paid or sponsored by Apple. Nevertheless it is still an informative and entertaining video about the phone,Yes,No. I am a skeptic,"Marques gives a more realistic unbiased review of the iphone. He mentions about the pros and cons of the phone and compare's them in a fair manner. Given his more authentic review, I will be more inclined to believing what he says.",Yes,Yes. I am think he gave a convincing reviewing
30 to 39,a,"Love the in-depth dive into the cameras for the phones, definitely a nice upgrade. ",Yes,Yes. I am convinced by her review,"Thanks for the in-depth review of the phone as a whole, very helpful! ",Yes,Yes. I am think he gave a convincing reviewing
50 and above,a,Focused on the camera. I believe there are phones with better cameras. I'm not a fan of apple,No,No. I am a skeptic,It's comparing iphone with iphone. Doesn't convince me to buy one. I'm not an apple fan.,No,No. I would not.
30 to 39,d,"Interesting, fun to watch, and insightful, but very long",No,Yes. I am convinced by her review,Factual review,No,Yes. I am think he gave a convincing reviewing
30 to 39,c,Wow!!! Iphone 13 Pro Max features are super upgrade! Thank you for the detailed review!,No,Yes. I am convinced by her review,I would love to see more comparisons between the new and the old. ,No,No. I would not.
30 to 39,b,Great shots. ,No,No. I am a skeptic,Exactly what I wanted to know. Thanks!,No,Yes. I am think he gave a convincing reviewing
40 to 49,c,Don’t exaggerate ,Yes,No. I am a skeptic,My go to review guy !,Yes,Yes. I am think he gave a convincing reviewing
20 to 29,d,Succinctly describes the main differences between iPhone 12 Pro Max and iPhone 13 pro max as well as differences between the 13pro and 13. Points out special features of the phone. Video shot in an interesting and stylish manner.,No,Yes. I am convinced by her review,"Good use of keywords and pointer forms. Very easy to understand. Very succinct, to the point and no unnecessary shots. Focuses on technical bits of the phone. Pretty convinced to buy the phone. ",No,Yes. I am think he gave a convincing reviewing
